=============================================
  MBL Simulation Suite — Started: Sun Apr 12 03:01:41 PM IST 2026
=============================================

>>> Starting 01_reproduce_fig3.py at Sun Apr 12 03:01:41 PM IST 2026
---------------------------------------------
Building basis...
Hilbert space dimension: 4900
Initial state: |10101010>(x)|10101010>

--- Disorder strength w = 1.00 ---
  realization 41/100 completed in 9.79 s
  realization 42/100 completed in 10.38 s
  realization 43/100 completed in 10.13 s
  realization 44/100 completed in 9.90 s
  realization 45/100 completed in 10.16 s
  realization 46/100 completed in 10.21 s
  realization 47/100 completed in 10.63 s
  realization 48/100 completed in 10.96 s
  realization 49/100 completed in 10.43 s
  realization 50/100 completed in 12.70 s
  realization 51/100 completed in 12.37 s
  realization 52/100 completed in 11.63 s
  realization 53/100 completed in 12.20 s
  realization 54/100 completed in 11.62 s
  realization 55/100 completed in 10.93 s
  realization 56/100 completed in 9.25 s
  realization 57/100 completed in 10.41 s
  realization 58/100 completed in 9.88 s
  realization 59/100 completed in 9.82 s
  realization 60/100 completed in 11.04 s
  realization 61/100 completed in 10.82 s
  realization 62/100 completed in 9.42 s
  realization 63/100 completed in 9.63 s
  realization 64/100 completed in 8.81 s
  realization 65/100 completed in 9.68 s
  realization 66/100 completed in 9.93 s
  realization 67/100 completed in 9.19 s
  realization 68/100 completed in 9.14 s
  realization 69/100 completed in 10.54 s
  realization 70/100 completed in 10.34 s
  realization 71/100 completed in 9.32 s
  realization 72/100 completed in 8.62 s
  realization 73/100 completed in 9.59 s
  realization 74/100 completed in 10.50 s
  realization 75/100 completed in 9.19 s
  realization 76/100 completed in 9.50 s
  realization 77/100 completed in 9.39 s
  realization 78/100 completed in 9.90 s
  realization 79/100 completed in 9.01 s
  realization 80/100 completed in 8.68 s
  realization 81/100 completed in 8.61 s
  realization 82/100 completed in 9.32 s
  realization 83/100 completed in 9.53 s
  realization 84/100 completed in 9.24 s
  realization 85/100 completed in 10.53 s
  realization 86/100 completed in 9.30 s
  realization 87/100 completed in 10.34 s
  realization 88/100 completed in 9.41 s
  realization 89/100 completed in 8.99 s
  realization 90/100 completed in 9.67 s
  realization 91/100 completed in 9.25 s
  realization 92/100 completed in 9.42 s
  realization 93/100 completed in 9.79 s
  realization 94/100 completed in 8.75 s
  realization 95/100 completed in 8.58 s
  realization 96/100 completed in 9.12 s
  realization 97/100 completed in 9.04 s
  realization 98/100 completed in 9.48 s
  realization 99/100 completed in 10.83 s
  realization 100/100 completed in 9.95 s
All realizations for w=10.00 completed in 1004.5 s

Saved: fermion_MBL_fig3.png
<<< DONE: 01_reproduce_fig3.py — 47m 13s ✓

>>> Starting 02_temperature_effect.py at Sun Apr 12 03:48:54 PM IST 2026
---------------------------------------------
